osm_type,osm_id,name,category,website,phone,opening_hours,addr,lat,lon,source,captured_at
node,667886886,Lavish Nail Spa & Beauty,perfumes/beauty,https://lavishnails.ie/,+353-1-561-5951,"Mo-We 10:00-18:30; Th-Fr 10:00-19:30; Sa 10:00-18:30; Su,PH 10:00-18:30","10, Church Place, Sallynoggin, A96 E8V0",53.2753021,-6.137795,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,677596880,ASHA,clothes,https://www.stephensgreen.com/dublin-shops/asha/,,,"St. Stephen's Green, Dublin",53.3399449,-6.2614642,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,725113287,Havana,perfumes/beauty,,,,,53.3495268,-6.2455903,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,943370419,IKEA,home appliances,https://www.ikea.com/ie/en/,+353-1-541-3300,"Mo-We,Su 09:30-18:00; Th-Sa 09:30-19:00","7, Carrickmines Park, D18 VY92",53.2504272,-6.1857495,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,943370425,Next Home,home appliances,https://www.next.co.uk/homeware,,"Mo-We 09:00-18:30; Th,Sa 09:00-20:30; Su 10:00-19:00","5, Carrickmines Park",53.2506374,-6.18664,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,943370429,Harvey Norman,home appliances,https://www.harveynorman.ie/,+353-1-299-6900,Mo-We 09:30-18:00; Th 09:30-21:00; Fr 09:30-19:00; Sa 09:30-18:00; Su 11:00-18:00,"230, Carrickmines Park, D18 FH48",53.2523369,-6.1860761,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,943370453,Currys,gadgets/electronics,https://www.currys.ie/,,Mo-We 09:00-20:00; Th-Fr 09:00-21:00; Sa 09:00-19:00; Su 11:00-19:00,"9, Carrickmines Park",53.2503644,-6.1850358,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,972094204,La Mode,perfumes/beauty,https://www.lamode.ie/,+353 1 811 7518,,"Phibsborough Road, Dublin",53.3612797,-6.2725009,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,996066798,Khan,clothes,https://khan.ie/,+353-1-278-1646,Mo-We 09:30-18:00; Th 09:30-20:00; Fr-Sa 09:30-18:00,,53.302215,-6.1786762,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,1056711322,Rocks,jewellery,https://rocks.ie/,+353 1 2886 156,Mo-Sa 09:45-17:30,Old Dublin Road,53.2898373,-6.1999596,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,1074389232,Michael Murphy,home appliances,,,"Mo-Sa 10:00-18:00; Su,PH 12:00-18:00",,53.2739105,-6.2062642,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,1348075780,R&C McCormack,jewellery,https://celticdublin.com/,,,"Grafton Street, Dublin",53.3400972,-6.2605276,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,1349656240,Bedroom Elegance,home appliances,,,,"63, Dorset Street Upper, Dublin",53.3569099,-6.2641529,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,1349656253,eBox,gadgets/electronics,,,,"Dorset Street Upper, Dublin",53.3566278,-6.2644403,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,1350207383,Fay's Dancing Shoes,clothes,https://www.fays-shoes.com/,+353-1-8555421,"Mo-Th 09:00-17:30, Fr 09:00-17:00","54, Dorset Street Lower",53.36099,-6.2598569,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,1350207385,Angelo Bridal,clothes,,,,"38, Dorset Street Lower, Dublin",53.3596012,-6.2611153,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,1350207395,Mezina,clothes,,,,Drumcondra Road Lower,53.3679461,-6.2551276,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,1418311153,Gloss House,perfumes/beauty,https://glosshouse.ie/,+353 1 532 4330,,"45, Booterstown Avenue, Blackrock",53.3067634,-6.1972476,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,1424006142,Red Apple Hair & Beauty Salon,perfumes/beauty,,,,Woodstown Shopping Centre,53.2756924,-6.330083,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,1473487757,John Lawrence,clothes,,,,,53.3426922,-6.2783236,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,1473508567,The bull ring,clothes,,,,,53.341112,-6.2783968,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,1514294256,Aston Formal Wear,clothes,https://astonformal.com/,+353-1-6796100,,"Aston Place, Dublin",53.3463902,-6.2607935,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,1529996771,DID Electrical,gadgets/electronics,https://www.did.ie/,+353 1 8513322,"Mo-We 9:30-18:30, Th-Sa 9:30-18:00, Su 13:00-18:00","Mornington Park, Dublin",53.3822046,-6.208021,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,1609324726,Kobash Jewellers & Goldsmith,jewellery,http://www.kobash.ie/,+353 1 559 2034,Mo-Sa 10:00-17:00; Su off,"2c, Main Street, Blackrock, A94 A2T7",53.302012,-6.1781556,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,1720988548,The Woollen Mills,clothes,https://www.thewoollenmills.com/,,,"42, Ormond Quay Lower, Dublin",53.3467395,-6.2635284,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,1835454848,Vanity Rooms,perfumes/beauty,,,,Enniskerry Road,53.2529204,-6.2139289,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,1960851171,Gilmour Sports,clothes,,,,,53.256801,-6.1937442,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,1991035242,Zintek Systems,gadgets/electronics,,,,Greenhills Road,53.2951414,-6.3542401,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2001070418,Blow Hair & Beauty,perfumes/beauty,https://www.blow.ie/,+353-1-6070222,"Mo-Fr 06:30-19:30, Sa 08:30-18:00, Su & BH 09:30-16:00","144-145, Leeson Street Upper, Dublin",53.3311169,-6.2516775,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2068206978,Design Emporiun,home appliances,,,Mo-Fr 09:30-17:00; Sa 10:00-17:00; Su 12:00-16:00,,53.2784391,-6.1611801,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2367554659,JYSK,home appliances,https://jysk.ie/s,019061443,Mo-Su 10:00-18:00,"Unit 18 -D6, Shoppinh Centre, Beacon South Quarter, Sandyford, Dublin, D18K6X4",53.2778982,-6.2155266,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2411967878,Zara,clothes,,,,"King Street South, Dublin",53.34045,-6.262325,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2411968976,Select,gadgets/electronics,https://ie.selectonline.com/,,,"King Street South, Dublin",53.340386,-6.262067,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2424297241,Louis Copeland and Sons,clothes,,,,"Capel Street, Dublin",53.3482587,-6.2685679,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2429361212,Home Street Home,gadgets/electronics,https://homestreethome.ie/,+353-1-5370085,Tu-Sa 10:00-18:00; Su 11:00-17:00; Mo off,"294, Harold's Cross Road, Dublin",53.3197267,-6.2789729,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2459649520,Ryan's,gadgets/electronics,,,Mo-Sa 09:30-19:00; Su 11:00-17:00,"Tyrrelstown Plaza, Tyrrelstown",53.4201478,-6.3834986,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2480237252,Studio 11 Beauty Salon,perfumes/beauty,,,,"Irishtown Road, Dublin",53.3419705,-6.2267484,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2523754087,Brazilian Aesthetics,perfumes/beauty,,,,,53.3563759,-6.2678192,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2523759926,Orchid's Hair Nail & Beauty Salon,perfumes/beauty,,,,North Circular Road,53.3605553,-6.2706624,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2531423259,Tan n Glo,perfumes/beauty,,+353 85 276 404,,"Unit 1, Hyde Court, Dublin",53.3456367,-6.2514916,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2576208959,ESL Jewellery,jewellery,https://esljewellery.ie/,+353 1 679 1603,Tu-Sa 09:30-17:30,"Chatham Street, Dublin",53.3407447,-6.2612332,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2625914022,Leopardstown Beauty Salon,perfumes/beauty,,,,"1, Leopardstown Gardens, Dublin",53.2796901,-6.1964909,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2632336674,Bowie Aesthetics Bar,perfumes/beauty,https://bowieaesthetics.ie/,,,"42D, Pearse Street, Dublin",53.344378,-6.2498604,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2682531691,IT Clinic - Computer repair services,gadgets/electronics,,,,"332, North Circular Road",53.3606037,-6.2746358,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2696246358,V.Claire,perfumes/beauty,,+353-1-4978833,,"255, Harold's Cross Road, Dublin",53.3181899,-6.2792475,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2706778087,O' Neills,clothes,,,,"Talbot Street, Dublin",53.350645,-6.2558118,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2710596548,IT Direct,gadgets/electronics,,,,"Parliament Street, Dublin",53.3442889,-6.2674482,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2710596556,Smart Mobile,gadgets/electronics,https://smartmobiles.ie/,,,"Dame Street, Dublin",53.3442684,-6.2666781,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2731574917,Lush,perfumes/beauty,https://www.lush.com/ie/en/shops/lush-cosmetics-grafton-street?id=UKD01,,Mo-Fr 10:30-19:00; Sa 10:00-19:00; Su 11:00-18:30,"116, Grafton Street, Dublin",53.3439893,-6.259381,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2797135300,IT Star,gadgets/electronics,https://itstar.ie/,,,"Rathmines Road Lower, Dublin",53.3221106,-6.2655744,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2797188912,Blitz It Beauty Express,perfumes/beauty,,,,"8, Rathmines Road Upper, Dublin",53.3212393,-6.2655368,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2826497092,Cath Kidston,clothes,https://www.next.co.uk/cath-kidston,,,"Grafton Street, Dublin",53.3431393,-6.259568,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2826503844,COS,clothes,https://www.cosstores.com/ie/,,"Mo-We 10:00-20:00, Th 10:00-21:00, Fr-Sa 10:00-20:00, Su 11:00-19:00","Wicklow Street, Dublin",53.3428771,-6.2604359,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2826505974,Camper,clothes,https://www.camper.com/en_IE/shops/ireland/dublin/store_shoes_10_wicklow_st_dublin2-T101,,,"Wicklow Street, Dublin",53.3429349,-6.2606343,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2826508118,Ecco,clothes,https://ie.ecco.com/en-IE/CustomerCare/StoreFinder?lat=53.3430838&lng=-6.2613875&id=0001051205,,Mo-We 09:30-18:00; Th 09:30-20:00; Fr-Sa 09:30-19:00; Su 12:00-18:00,"11, Wicklow Street, Dublin",53.3429552,-6.2607001,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2858669255,New Paddy Electronics,gadgets/electronics,,,Mo-Sa 10:00-18:00,,53.3922437,-6.2488948,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2860079942,L'Occitane,perfumes/beauty,"https://ie.loccitane.com/bp/Dublin-Wicklow-Street,103,1,b31OCST001.htm",,,"Wicklow Street, Dublin",53.34306,-6.2610006,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2865381027,Slender Health,perfumes/beauty,https://www.slenderhealth.ie/,+353 1 857 4104,Mo-Th 09:00-22:00; Fr 09:00-21:00; Sa 09:00-18:00; Su 09:00-16:00,"185, Botanic Road, Dublin",53.3724941,-6.2685402,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2885252925,Superdry,clothes,https://stores.superdry.ie/dublin/6-10-suffolk-street,+35316401116,Mo-Su 09:00-19:00,"6-10, Suffolk Street, Dublin, D02 X854",53.3436665,-6.2602046,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2885369316,Ivy Nails and Beauty,perfumes/beauty,,,,"12, Rathgar Road, Dublin",53.3216355,-6.2669627,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2885369319,Mint Nail & Beauty Spa,perfumes/beauty,https://mintnailsbeauty.com/,,,"6, Rathgar Road, Dublin, D06NW86",53.3217424,-6.2665595,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2885644006,99b (shop name),clothes,,,,"99b, Rathgar Road",53.3125894,-6.2739005,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2886195164,(unnamed),gadgets/electronics,,,,"1, Rathgar Road",53.3218709,-6.2662723,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2886231112,Sandy Nails,perfumes/beauty,,,,"Rathmines Road Lower, Dublin",53.3262436,-6.2651617,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2940723779,Grants,clothes,,,,"7-8, Manor Street, Dublin",53.3517158,-6.2830169,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2980332197,Pierced,jewellery,,,,"63, Camden Street Lower, Dublin",53.3345931,-6.265472,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2980368135,Tommy Moore,jewellery,,,,"Camden Street Lower, Dublin",53.3356338,-6.2649614,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2980371231,djinn,jewellery,,,,"15b, Wexford Street",53.3367477,-6.2653787,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2981204964,so lo,clothes,,,,"Wexford Street, Dublin",53.3365081,-6.2652926,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2982915543,Dunnes Stores,home appliances,https://www.dunnesstores.com/,,Mo-Fr 09:00-21:00; Sa 09:00-20:00; Su 10:00-20:00,"Rathmines Road Lower, Dublin",53.3229418,-6.2645693,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2982955167,Cyan,clothes,,,,"Rathmines Road Lower, Dublin",53.3232108,-6.2646034,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2983580706,Mademoiselle @ The Beauty Boudoir,perfumes/beauty,,,,"94, Rathmines Road Lower, Dublin",53.3265716,-6.2646335,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2983580707,Tanning Hub,perfumes/beauty,,,,"96, Rathmines Road Lower, Dublin",53.3265235,-6.2646335,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2983667548,Abbie Nail & Beauty,perfumes/beauty,,,,"220, Rathmines Road Lower, Dublin",53.3234562,-6.2653499,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2984153566,Rialto Electrical Limited,gadgets/electronics,,+353 1 4539331,,"South Circular Road, Dublin",53.336079,-6.298582,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2985548432,decor furniture gallery,home appliances,http://www.decor.ie,+353 1 4752152,,"14a, Wexford Street, Dublin",53.3368919,-6.2653817,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2985558133,Heaven Face and Body Clinic,perfumes/beauty,,+353 1 491 0101,,"189, Rathmines Road Lower, Dublin",53.322697,-6.2658498,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2986757647,Tallon Tailoring & Formal Dress Hire Service,clothes,https://www.facebook.com/pages/Tallon-Tailoring-Formal-Dress-Hire-Service/149526678542279,+353 1 4969503,,"206, Harold's Cross Road, Dublin",53.3226839,-6.2795661,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2986844485,PC-universe.net (moved),gadgets/electronics,,,,"Harold's Cross Road, Dublin",53.3196474,-6.2789984,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2988253830,Columbia,clothes,https://www.columbiasportswear.ie/,,,"Trinity Street, Dublin",53.3437852,-6.2619448,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2988406966,be U. Nail & Bauty Clinic,perfumes/beauty,,+353 1 4925187,,"Kimmage Road Lower, Dublin",53.319406,-6.2910089,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2988815332,W12,clothes,,,,,53.3197514,-6.2915162,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2988816136,(unnamed),clothes,,,,,53.3193944,-6.2918402,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2989946093,Sundrive Electrical,gadgets/electronics,,,,Sundrive Road,53.3211559,-6.2935366,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2991107248,Halo Hair and Beauty,perfumes/beauty,,+353 1 416 9948,,"Bangor Drive, Dublin",53.3274111,-6.3044931,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2993100929,Ellen's Nails and Beauty,perfumes/beauty,,,Mo-Sa 09:30-18:00,"Galtymore Road, Dublin",53.3341579,-6.319735,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2994323503,Roches,perfumes/beauty,,+353 1 4758798,,"Richmond Street South, Dublin",53.3309675,-6.2646711,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2994960412,Mint Nails & Spa,perfumes/beauty,,,,Richmond Street South,53.3323997,-6.2646438,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2995007513,Camden Clothing,clothes,https://camdenclothing.ie/,+353 1 4175961,Mo-Fr 10:00-18:00,"29, Camden Street Lower, Dublin",53.3347637,-6.2649703,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2995293838,Studio Dolls,perfumes/beauty,,,,"6, Lisle Road",53.3205318,-6.3170225,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2995293840,Nails & Beauty by Jen,perfumes/beauty,,,,,53.320647,-6.3170446,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2995767480,TN Beauty Salon,perfumes/beauty,,,,,53.3368488,-6.2656691,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2996360238,Mobile Fix,gadgets/electronics,,,,"36, Aungier Street, Dublin",53.338775,-6.2658736,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2996360243,V-Repair,gadgets/electronics,,,,"33, Aungier Street, Dublin",53.3389448,-6.2658365,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2996988357,Greenes Jewellers,jewellery,https://greenesjewellers.com/,+353 1 4758008,,"9, Aungier Street, Dublin",53.3408585,-6.2654007,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2997485584,HLine Kitchens & Bedrooms,home appliances,https://www.hline.ie/,+353 1 8110894,"Mo-Fr 09:00-17:30, Sa 11:30-15:30","46, Finglas Business Centre, Dublin",53.3977747,-6.2946505,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2997543387,FM Mobiles,gadgets/electronics,http://fmmobiles.ie/,+353 1 6750692,Mo-Sa 10:00-18:00,"40, George's Street Great South, Dublin",53.3418268,-6.2647615,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2997543388,Electro Repair Centre,gadgets/electronics,,,,"40, George's Street Great South, Dublin",53.3418701,-6.2647109,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,2997549699,CeX,gadgets/electronics,https://ie.webuy.com/site/storeDetail?branchId=1536,,Mo-We 10:00-19:00; Th 10:00-20:00; Fr 10:00-19:00; Sa 10:00-18:00; Su 12:00-18:00,"23, George's Street Great South, Dublin",53.3424244,-6.2643676,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3002889742,(unnamed),home appliances,,,,,53.3421276,-6.2448266,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3003815620,Dubarry of Ireland,clothes,https://www.dubarry.com/ie/,+353 1 6779001,"Mo-Sa 10:00-18:00, Su,PH 12:00-18:00","35, College Green, Dublin",53.3441711,-6.2598554,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3005930485,Natural Beauty,perfumes/beauty,http://www.dermalogicaconnect.ie/naturalbeauty/about,+353-1-5374066,,"65a, Harold's Cross Road, Dublin",53.3269799,-6.2774451,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3008616869,Libaas,clothes,,+353 1 4736750,,"Clanbrassil Street Upper, Dublin",53.3307552,-6.2750464,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3008717075,Ammara Boutique,clothes,,,,"Clanbrassil Street Upper, Dublin",53.3319494,-6.2749902,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3008717116,New Image Hair & Beauty Salon,perfumes/beauty,,,,"66, Clanbrassil Street Lower, Dublin",53.3331347,-6.2753978,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3028081128,Mr. iPhone,gadgets/electronics,http://mriphonedublin.com/,+353 1 4411211,Mo-Su 10:00-20:00,"2, Clanbrassil Street Upper, Dublin",53.3320771,-6.2753727,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3028114730,City Communications,gadgets/electronics,,,,"Clanbrassil Street Lower, Dublin",53.3342352,-6.2751051,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3030693478,Carpet Express Ltd.,home appliances,,,,,53.363248,-6.3040757,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3039430903,Kube Kitchen Studio,home appliances,https://www.kubeinteriors.com/,+353 1 497 2074,"Mo-Sa 10:00-18:00; PH,Su off","14, Orwell Road, Dublin",53.3114851,-6.2744643,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3039675547,Marina's Beauty Salon,perfumes/beauty,,+353 1 4905860,,"101, Rathgar Road, Dublin",53.3124754,-6.2740502,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3039751433,Iconic Beauty,perfumes/beauty,https://www.iconicbeauty.ie/,+353 1 4928462,,"91, Rathgar Road, Dublin",53.3134014,-6.273282,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3040092717,Gallagher TV,gadgets/electronics,,+353 1 4910222,,"10, Rathmines Road Upper, Dublin",53.3211875,-6.2655146,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3042075585,Blink & Wink,perfumes/beauty,,+353-1-6624772,"Tu-We 10:00-19:00, Th-Fr 10:00-20:00, Sa 10:00-18:00","21, Dawson Street, Dublin",53.3397781,-6.2585291,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3044894568,The Spa at The Shelbourne,perfumes/beauty,https://www.theshelbourne.com/wellness/the-spa,+353 1 6634500,"Sa-Tu 09:00-19:00, We-Fr 09:00-21:00","27, St. Stephen's Green, Dublin",53.3387816,-6.2554231,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3051154797,Heaven Face & Body Clinic,perfumes/beauty,,+353 1 8748405,,"55, O'Connell Street Lower, Dublin",53.3476241,-6.2597451,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3051154798,Dicksons,jewellery,,,,"55, O'Connell Street Lower, Dublin",53.3476521,-6.2597544,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3052818969,All Occassions Boutique,clothes,,+353 1 8735973,,"Granby Row, Dublin",53.3539048,-6.2663228,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3054706961,Mr. iPhone,gadgets/electronics,,,,"Phibsborough Road, Dublin",53.359988,-6.2728364,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3061990914,Gold Hair & Beauty,perfumes/beauty,,,,"Ballygall Road West, Dublin",53.3904704,-6.2885723,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
node,3065274401,EZ Living Furniture,home appliances,,,,,53.2800934,-6.2145239,OpenStreetMap Overpass,2026-02-16T09:47:58+00:00
